Date,country,Event,calender,Survey,Actual,Prior,Revised,Relevance,Ticker
2007/1/3 21:15,US,ADP 就业变动指数,Dec,120000,-40000,158000,62000,85.6061,ADP CHNG Index
2007/1/31 21:15,US,ADP 就业变动指数,Jan,140000,152000,-40000,109000,85.6061,ADP CHNG Index
2007/3/7 21:15,US,ADP 就业变动指数,Feb,100000,57000,152000,233000,85.6061,ADP CHNG Index
2007/4/4 20:15,US,ADP 就业变动指数,Mar,135000,106000,57000,86000,85.6061,ADP CHNG Index
2007/5/2 20:15,US,ADP 就业变动指数,Apr,100000,64000,106000,65000,85.6061,ADP CHNG Index
2007/5/30 20:15,US,ADP 就业变动指数,May,120000,97000,64000,141000,85.6061,ADP CHNG Index
2007/7/5 20:15,US,ADP 就业变动指数,Jun,100000,150000,97000,40000,85.6061,ADP CHNG Index
2007/8/1 20:15,US,ADP 就业变动指数,Jul,100000,48000,150000,23000,85.6061,ADP CHNG Index
2007/9/5 20:15,US,ADP 就业变动指数,Aug,80000,38000,48000,77000,85.6061,ADP CHNG Index
2007/10/3 20:15,US,ADP 就业变动指数,Sep,60000,58000,38000,8000,85.6061,ADP CHNG Index
2007/10/31 20:15,US,ADP 就业变动指数,Oct,58000,106000,58000,-28000,85.6061,ADP CHNG Index
2007/12/5 21:15,US,ADP 就业变动指数,Nov,50000,189000,106000,-21000,85.6061,ADP CHNG Index
2008/1/3 21:15,US,ADP 就业变动指数,Dec,33000,40000,189000,62000,85.6061,ADP CHNG Index
2008/1/30 21:15,US,ADP 就业变动指数,Jan,40000,130000,40000,-22000,85.6061,ADP CHNG Index
2008/3/5 21:15,US,ADP 就业变动指数,Feb,18000,-23000,130000,100000,85.6061,ADP CHNG Index
2008/4/2 20:15,US,ADP 就业变动指数,Mar,-45000,8000,-23000,-97000,85.6061,ADP CHNG Index
2008/4/30 20:15,US,ADP 就业变动指数,Apr,-60000,10000,8000,-92000,85.6061,ADP CHNG Index
2008/6/4 20:15,US,ADP 就业变动指数,May,-30000,40000,10000,-295000,85.6061,ADP CHNG Index
2008/7/2 20:15,US,ADP 就业变动指数,Jun,-20000,-79000,40000,-364000,85.6061,ADP CHNG Index
2008/7/30 20:15,US,ADP 就业变动指数,Jul,-60000,9000,-79000,-248000,85.6061,ADP CHNG Index
