财经指数,url,数据公布机构,发布频率,数据影响,数据释义,统计方法,关注原因,金银影响
美国季调后非农就业人口,http://www.kxt.com/data/nfp+tch+index.html,美国劳工部,每月一次（每月的第一个周五公布，遇到特殊节假日或统计周期问题除外）,"公布值＞预期值，则利好美国经济及美元，利空非美。
",非农业就业人数(Changes in non-farm payrolls)：为就业报告中的一个项目，该项目主要统计从事农业生产以外的职位变化情形，该数据与失业率一同公布。由美国劳工部统计局在月第一个星期五美国东部时间8:30也就是北京时间晚上20:30前一个月的数据。,过去一个月非农业人口就业人口的变化,"非农就业人数变化反映出制造行业和服务行业的发展及其增长，数字减少便代表企业减低生产，经济步入萧条；在没有发生恶性通胀的情况下，如数字大幅增加，显示一个健康的经济状况，对美元应当有利，并可能预示着更将提高利率，也对美元有利。非农就业指数若增加，反映出经济发展的上升，反之则下降。
",利空
美国联邦公开市场委员会利率决定(利率上限),http://www.kxt.com/data/fdtr+index.html,美联储,一年八次,"上调利率，利多美元，利空非美。
",联邦公开市场委员会(The Federal Open Market Committee ，简称 FOMC)通过举行讨论会议投票决定联邦基金利率，它们每年都要在华盛顿特区召开八次例行会议，其会议日程安排表每年都会向公众公开。,通过会议决定联邦基金利率,利率的升降，反映了经济的好坏。经济蓬勃发展时期，加息意味着经济快速增长，投资回报率高，对美元有利,
美国联邦公开市场委员会利率决定(利率下限),http://www.kxt.com/data/fdtrftrl+index.html,美联储,一年八次,"上调利率，对美元有利
",联邦公开市场委员会(The Federal Open Market Committee ，简称 FOMC)通过举行讨论会议投票决定联邦基金利率，它们每年都要在华盛顿特区召开八次例行会议，其会议日程安排表每年都会向公众公开。,通过会议决定联邦基金利率,利率的升降，反映了经济的好坏。经济蓬勃发展时期，加息意味着经济快速增长，投资回报率高，对美元有利,
美国失业率,http://www.kxt.com/data/usurtot+index.html,美国劳工部,每月,"实际值
",美国失业率(Unemployment Rate)，也是美国就业报告中的另外一个项目，是指一定时期内，失业人口占劳动人口的比率（一定时期全部就业人口中有工作意愿而仍未有工作的劳动力数字），旨在衡量闲置中的劳动产能，是反映一个国家或地区失业状况的主要指标。,失业人口占劳动人口的比率,失业率是最重要的经济指标之一，深受劳动市场供需以及经济循环之影响，失业率的高低，也反映了经济的运行状况。尽管被视为滞后指标，失业人口是衡量总体经济健康状况的重要信号，因消费者支出与就业市场条件高度关联。失业率上升，预示消费减弱，对经济发展不利；失业率下降，说明经济好转。,利多
美国ADP就业人数变动,http://www.kxt.com/data/adp+chng+index.html,美国自动数据处理公司,每月一次（每月的第一个周三公布）,"公布值>预期值，则利好美国经济及美元，利空非美。
",ADP全美就业报告由ADP赞助，Macroeconomic Advisers公司负责制定和维护。本报告采集自约50万家匿名美国企业，是美国就业情况的反映。在2008年前六个月，采样取自约美国私营领域中39.9万家企业，涵盖近2400万美国员工。,前一个月就业人数变化预期值，不包括农业和政府工作人员。,就业数据是消费者支出的领先指标，占总体经济活动中的大部分。比劳工部公布的官方非农就业数据提前两天公布，被看作是非农数据的先行指标。,利空
美国当周EIA原油库存,http://www.kxt.com/data/doeascrd+index.html, 美国能源信息署, 每周三公布,"数据
",测量了每周的美国公司的商业原油库存的变化。, 过去一周商业公司原油库存的变化,这是一个美国指标，库存的增减，会影响到原油价格，进而对加元产生影响，因加拿大原油出口占经济比重大。影响大于美国石油学会的每周原油库存变化。,利空
美国当周初请失业金人数,http://www.kxt.com/data/injcjc+index.html,美国劳工部,每周四公布,"公布值＞预期值，利空美元，利多非美。
",初请失业金人数是反映其国内劳动力市场状况的指标之一，统计的是第一次申请领取失业金的人数。,过去一周初次申请失业保险的人数,由于该数据每周都公布，是投资市场的焦点所在，失业人数的大幅增加，美国政府的财政压力也就随之增大，对于得了“双赤绝症”的美国经济来说也是一个考验，对美元不利。,利多
美国就业市场状况指数(LMCI),http://www.kxt.com/data/lmcilmcc+index.html,美联储,一般在美国劳工部公布非农数据后的第一个交易日公布,"公布值>预期值，利好美元，利空黄金白银
",就业市场状况指数是美联储编纂的第二份反应美国就业市场的指数，这可以帮助市场更好理解近期经济中工资、就业和相关数据的影响。,该指数通常会在美国劳工部公布非农数据后的第一个交易日公布。就业市场状况指数的推出为大家提供了一个简单衡量就业市场是否健康的指标。,考虑到美联储强调其将更多地参考系列就业市场数据，因而认为美联储新推的LMCI能够在市场上获得更高的关注度。,利空
美国核心PCE物价指数年率初值,http://www.kxt.com/data/gdpcpcec+indexa.html,美国商务部,每季,"公布值>预测值=利好美元
",GDP即英文gross domestic product的缩写，也就是国内生产总值。通常对GDP的定义为：一定时期内（一个季度或一年），一个国家或地区的经济中所生产出的全部最终产品和提供劳务的市场价值的总值,一定时期内经济总值的变化,一国的GDP大幅增长，反映出该国经济发展蓬勃，国民收入增加，消费能力也随之增强。在这种情况下，该国央行将有可能提高利率，紧缩货币供应，国家经济表现良好及利率的上升会增加该国货币的吸引力。,利空
美国密歇根大学消费者信心指数终值,http://www.kxt.com/data/conssent+indexf.html,密歇根大学,每月,"实际值>预期值=利好美元
",美国密歇根大学研究人员利用对500至600名成年人原始调查数据，计算出经过季节调整后的消费者信心、现况指数(包括目前财务状况和购买状况)和预期指数(包括未来一年和五年的预期财务状况和经济状况)。出于指数计算的需要，研究人员设定1966年第一季度的结果为100。,基于消费者调查的一系列综合指数,密歇根大学消费者信心指数与消费者支出之间的相关性更为密切。如果消费者信心上升，债券市场将之视为利空，价格下跌；股票市场则通常视之为利好。美元汇率通常从联储寻求暗示，若消费者信心上升，则意味着消费增长，经济走强，联储可能会提高利率，那美元就会相应走强。,利空
